{'Mean Episode Return': Array(15.816968, dtype=float32), 'Mean Episode Length': Array(42.3356, dtype=float32)} step=3225600
{'Mean Episode Return': Array(15.803519, dtype=float32), 'Mean Episode Length': Array(42.837727, dtype=float32)} step=3276800
{'Mean Episode Return': Array(15.923479, dtype=float32), 'Mean Episode Length': Array(42.907497, dtype=float32)} step=3328000
{'Mean Episode Return': Array(15.988453, dtype=float32), 'Mean Episode Length': Array(43.15612, dtype=float32)} step=3379200
{'Mean Episode Return': Array(16.142132, dtype=float32), 'Mean Episode Length': Array(43.737114, dtype=float32)} step=3430400
{'Mean Episode Return': Array(16.369963, dtype=float32), 'Mean Episode Length': Array(43.570213, dtype=float32)} step=3481600
{'Mean Episode Return': Array(16.183271, dtype=float32), 'Mean Episode Length': Array(43.144527, dtype=float32)} step=3532800
{'Mean Episode Return': Array(16.036596, dtype=float32), 'Mean Episode Length': Array(43.339073, dtype=float32)} step=3584000
{'Mean Episode Return': Array(15.85916, dtype=float32), 'Mean Episode Length': Array(43.551056, dtype=float32)} step=3635200
{'Mean Episode Return': Array(16.278826, dtype=float32), 'Mean Episode Length': Array(44.01565, dtype=float32)} step=3686400
{'Mean Episode Return': Array(16.41467, dtype=float32), 'Mean Episode Length': Array(43.720753, dtype=float32)} step=3737600
{'Mean Episode Return': Array(16.420439, dtype=float32), 'Mean Episode Length': Array(44.479477, dtype=float32)} step=3788800
{'Mean Episode Return': Array(16.640743, dtype=float32), 'Mean Episode Length': Array(44.84462, dtype=float32)} step=3840000
{'Mean Episode Return': Array(16.75782, dtype=float32), 'Mean Episode Length': Array(44.347332, dtype=float32)} step=3891200
{'Mean Episode Return': Array(16.831007, dtype=float32), 'Mean Episode Length': Array(45.121025, dtype=float32)} step=3942400
{'Mean Episode Return': Array(16.958073, dtype=float32), 'Mean Episode Length': Array(45.06007, dtype=float32)} step=3993600
{'Mean Episode Return': Array(17.151148, dtype=float32), 'Mean Episode Length': Array(45.155537, dtype=float32)} step=4044800
{'Mean Episode Return': Array(17.21007, dtype=float32), 'Mean Episode Length': Array(45.640182, dtype=float32)} step=4096000
{'Mean Episode Return': Array(17.21773, dtype=float32), 'Mean Episode Length': Array(45.95238, dtype=float32)} step=4147200
{'Mean Episode Return': Array(17.346964, dtype=float32), 'Mean Episode Length': Array(46.385574, dtype=float32)} step=4198400
{'Mean Episode Return': Array(17.357578, dtype=float32), 'Mean Episode Length': Array(45.881386, dtype=float32)} step=4249600
{'Mean Episode Return': Array(17.666199, dtype=float32), 'Mean Episode Length': Array(46.349026, dtype=float32)} step=4300800
{'Mean Episode Return': Array(17.63405, dtype=float32), 'Mean Episode Length': Array(46.56534, dtype=float32)} step=4352000
{'Mean Episode Return': Array(17.71431, dtype=float32), 'Mean Episode Length': Array(46.888073, dtype=float32)} step=4403200
{'Mean Episode Return': Array(17.800833, dtype=float32), 'Mean Episode Length': Array(46.047104, dtype=float32)} step=4454400
{'Mean Episode Return': Array(17.747988, dtype=float32), 'Mean Episode Length': Array(46.64442, dtype=float32)} step=4505600
{'Mean Episode Return': Array(17.819994, dtype=float32), 'Mean Episode Length': Array(48.044037, dtype=float32)} step=4556800
{'Mean Episode Return': Array(17.889608, dtype=float32), 'Mean Episode Length': Array(46.861008, dtype=float32)} step=4608000
{'Mean Episode Return': Array(18.229406, dtype=float32), 'Mean Episode Length': Array(47.40538, dtype=float32)} step=4659200
{'Mean Episode Return': Array(18.25706, dtype=float32), 'Mean Episode Length': Array(47.473827, dtype=float32)} step=4710400
{'Mean Episode Return': Array(18.409065, dtype=float32), 'Mean Episode Length': Array(47.074978, dtype=float32)} step=4761600
{'Mean Episode Return': Array(18.437883, dtype=float32), 'Mean Episode Length': Array(48.395153, dtype=float32)} step=4812800
{'Mean Episode Return': Array(18.534266, dtype=float32), 'Mean Episode Length': Array(47.61869, dtype=float32)} step=4864000
{'Mean Episode Return': Array(18.554705, dtype=float32), 'Mean Episode Length': Array(47.309326, dtype=float32)} step=4915200
{'Mean Episode Return': Array(18.39757, dtype=float32), 'Mean Episode Length': Array(46.774254, dtype=float32)} step=4966400
{'Mean Episode Return': Array(18.51581, dtype=float32), 'Mean Episode Length': Array(47.44837, dtype=float32)} step=5017600
{'Mean Episode Return': Array(18.522558, dtype=float32), 'Mean Episode Length': Array(48.4842, dtype=float32)} step=5068800
{'Mean Episode Return': Array(18.669394, dtype=float32), 'Mean Episode Length': Array(47.347866, dtype=float32)} step=5120000
