{'Mean Episode Return': Array(15.942462, dtype=float32), 'Mean Episode Length': Array(46.148445, dtype=float32)} step=3379200
{'Mean Episode Return': Array(16.21705, dtype=float32), 'Mean Episode Length': Array(45.613224, dtype=float32)} step=3430400
{'Mean Episode Return': Array(16.337282, dtype=float32), 'Mean Episode Length': Array(46.24552, dtype=float32)} step=3481600
{'Mean Episode Return': Array(16.237526, dtype=float32), 'Mean Episode Length': Array(46.06437, dtype=float32)} step=3532800
{'Mean Episode Return': Array(16.316502, dtype=float32), 'Mean Episode Length': Array(46.257713, dtype=float32)} step=3584000
{'Mean Episode Return': Array(16.4988, dtype=float32), 'Mean Episode Length': Array(46.30182, dtype=float32)} step=3635200
{'Mean Episode Return': Array(16.714622, dtype=float32), 'Mean Episode Length': Array(46.38048, dtype=float32)} step=3686400
{'Mean Episode Return': Array(16.752207, dtype=float32), 'Mean Episode Length': Array(46.59854, dtype=float32)} step=3737600
{'Mean Episode Return': Array(16.805107, dtype=float32), 'Mean Episode Length': Array(46.809742, dtype=float32)} step=3788800
{'Mean Episode Return': Array(17.059418, dtype=float32), 'Mean Episode Length': Array(47.517307, dtype=float32)} step=3840000
{'Mean Episode Return': Array(17.310783, dtype=float32), 'Mean Episode Length': Array(47.676388, dtype=float32)} step=3891200
{'Mean Episode Return': Array(17.317562, dtype=float32), 'Mean Episode Length': Array(47.636703, dtype=float32)} step=3942400
{'Mean Episode Return': Array(17.414211, dtype=float32), 'Mean Episode Length': Array(47.50046, dtype=float32)} step=3993600
{'Mean Episode Return': Array(17.51947, dtype=float32), 'Mean Episode Length': Array(48.073353, dtype=float32)} step=4044800
{'Mean Episode Return': Array(17.487616, dtype=float32), 'Mean Episode Length': Array(48.53232, dtype=float32)} step=4096000
{'Mean Episode Return': Array(17.908676, dtype=float32), 'Mean Episode Length': Array(48.342155, dtype=float32)} step=4147200
{'Mean Episode Return': Array(17.90086, dtype=float32), 'Mean Episode Length': Array(47.633827, dtype=float32)} step=4198400
{'Mean Episode Return': Array(17.894838, dtype=float32), 'Mean Episode Length': Array(48.591038, dtype=float32)} step=4249600
{'Mean Episode Return': Array(18.122313, dtype=float32), 'Mean Episode Length': Array(48.061127, dtype=float32)} step=4300800
{'Mean Episode Return': Array(18.610516, dtype=float32), 'Mean Episode Length': Array(48.296436, dtype=float32)} step=4352000
{'Mean Episode Return': Array(18.83394, dtype=float32), 'Mean Episode Length': Array(48.82235, dtype=float32)} step=4403200
{'Mean Episode Return': Array(18.658955, dtype=float32), 'Mean Episode Length': Array(49.416256, dtype=float32)} step=4454400
{'Mean Episode Return': Array(18.890371, dtype=float32), 'Mean Episode Length': Array(49.344013, dtype=float32)} step=4505600
{'Mean Episode Return': Array(19.192774, dtype=float32), 'Mean Episode Length': Array(49.50576, dtype=float32)} step=4556800
{'Mean Episode Return': Array(19.222334, dtype=float32), 'Mean Episode Length': Array(49.376797, dtype=float32)} step=4608000
{'Mean Episode Return': Array(19.46656, dtype=float32), 'Mean Episode Length': Array(49.05512, dtype=float32)} step=4659200
{'Mean Episode Return': Array(19.667238, dtype=float32), 'Mean Episode Length': Array(50.60516, dtype=float32)} step=4710400
{'Mean Episode Return': Array(19.863197, dtype=float32), 'Mean Episode Length': Array(50.318096, dtype=float32)} step=4761600
{'Mean Episode Return': Array(20.106821, dtype=float32), 'Mean Episode Length': Array(51.25784, dtype=float32)} step=4812800
{'Mean Episode Return': Array(19.95093, dtype=float32), 'Mean Episode Length': Array(50.836693, dtype=float32)} step=4864000
{'Mean Episode Return': Array(20.19886, dtype=float32), 'Mean Episode Length': Array(51.707493, dtype=float32)} step=4915200
{'Mean Episode Return': Array(20.21884, dtype=float32), 'Mean Episode Length': Array(51.48163, dtype=float32)} step=4966400
{'Mean Episode Return': Array(20.579128, dtype=float32), 'Mean Episode Length': Array(51.468815, dtype=float32)} step=5017600
{'Mean Episode Return': Array(20.687622, dtype=float32), 'Mean Episode Length': Array(52.20487, dtype=float32)} step=5068800
{'Mean Episode Return': Array(20.827793, dtype=float32), 'Mean Episode Length': Array(52.17093, dtype=float32)} step=5120000
{'Mean Episode Return': Array(20.98534, dtype=float32), 'Mean Episode Length': Array(52.58274, dtype=float32)} step=5171200
{'Mean Episode Return': Array(21.270464, dtype=float32), 'Mean Episode Length': Array(52.439793, dtype=float32)} step=5222400
{'Mean Episode Return': Array(21.445894, dtype=float32), 'Mean Episode Length': Array(52.925316, dtype=float32)} step=5273600
{'Mean Episode Return': Array(21.321535, dtype=float32), 'Mean Episode Length': Array(53.293385, dtype=float32)} step=5324800
{'Mean Episode Return': Array(21.61806, dtype=float32), 'Mean Episode Length': Array(53.72708, dtype=float32)} step=5376000
{'Mean Episode Return': Array(21.824764, dtype=float32), 'Mean Episode Length': Array(53.455402, dtype=float32)} step=5427200
{'Mean Episode Return': Array(22.10215, dtype=float32), 'Mean Episode Length': Array(54.37917, dtype=float32)} step=5478400
{'Mean Episode Return': Array(22.191118, dtype=float32), 'Mean Episode Length': Array(53.784336, dtype=float32)} step=5529600
{'Mean Episode Return': Array(22.375435, dtype=float32), 'Mean Episode Length': Array(53.843784, dtype=float32)} step=5580800
{'Mean Episode Return': Array(22.456541, dtype=float32), 'Mean Episode Length': Array(54.04541, dtype=float32)} step=5632000
