{'Mean Episode Return': Array(10.4937, dtype=float32), 'Mean Episode Length': Array(46.34707, dtype=float32)} step=8192000
{'Mean Episode Return': Array(10.73763, dtype=float32), 'Mean Episode Length': Array(45.88509, dtype=float32)} step=8243200
{'Mean Episode Return': Array(11.036227, dtype=float32), 'Mean Episode Length': Array(46.158134, dtype=float32)} step=8294400
{'Mean Episode Return': Array(10.88844, dtype=float32), 'Mean Episode Length': Array(45.62857, dtype=float32)} step=8345600
{'Mean Episode Return': Array(11.248005, dtype=float32), 'Mean Episode Length': Array(45.7462, dtype=float32)} step=8396800
{'Mean Episode Return': Array(11.368134, dtype=float32), 'Mean Episode Length': Array(45.59858, dtype=float32)} step=8448000
{'Mean Episode Return': Array(11.4743595, dtype=float32), 'Mean Episode Length': Array(45.779556, dtype=float32)} step=8499200
{'Mean Episode Return': Array(11.357821, dtype=float32), 'Mean Episode Length': Array(46.106857, dtype=float32)} step=8550400
{'Mean Episode Return': Array(11.533834, dtype=float32), 'Mean Episode Length': Array(45.52711, dtype=float32)} step=8601600
{'Mean Episode Return': Array(11.429331, dtype=float32), 'Mean Episode Length': Array(45.98904, dtype=float32)} step=8652800
{'Mean Episode Return': Array(11.227764, dtype=float32), 'Mean Episode Length': Array(46.31884, dtype=float32)} step=8704000
{'Mean Episode Return': Array(11.381139, dtype=float32), 'Mean Episode Length': Array(45.77074, dtype=float32)} step=8755200
{'Mean Episode Return': Array(11.521119, dtype=float32), 'Mean Episode Length': Array(46.169052, dtype=float32)} step=8806400
{'Mean Episode Return': Array(11.476938, dtype=float32), 'Mean Episode Length': Array(46.052197, dtype=float32)} step=8857600
{'Mean Episode Return': Array(11.6630125, dtype=float32), 'Mean Episode Length': Array(46.426155, dtype=float32)} step=8908800
{'Mean Episode Return': Array(11.466632, dtype=float32), 'Mean Episode Length': Array(46.60648, dtype=float32)} step=8960000
{'Mean Episode Return': Array(11.567999, dtype=float32), 'Mean Episode Length': Array(46.435875, dtype=float32)} step=9011200
{'Mean Episode Return': Array(11.616646, dtype=float32), 'Mean Episode Length': Array(46.71978, dtype=float32)} step=9062400
{'Mean Episode Return': Array(11.645512, dtype=float32), 'Mean Episode Length': Array(46.43427, dtype=float32)} step=9113600
{'Mean Episode Return': Array(11.825723, dtype=float32), 'Mean Episode Length': Array(46.530537, dtype=float32)} step=9164800
{'Mean Episode Return': Array(11.576451, dtype=float32), 'Mean Episode Length': Array(46.031418, dtype=float32)} step=9216000
{'Mean Episode Return': Array(11.596052, dtype=float32), 'Mean Episode Length': Array(46.77091, dtype=float32)} step=9267200
{'Mean Episode Return': Array(11.792298, dtype=float32), 'Mean Episode Length': Array(45.75251, dtype=float32)} step=9318400
{'Mean Episode Return': Array(11.887109, dtype=float32), 'Mean Episode Length': Array(46.291706, dtype=float32)} step=9369600
{'Mean Episode Return': Array(11.890395, dtype=float32), 'Mean Episode Length': Array(45.973064, dtype=float32)} step=9420800
{'Mean Episode Return': Array(11.709344, dtype=float32), 'Mean Episode Length': Array(45.527126, dtype=float32)} step=9472000
{'Mean Episode Return': Array(11.692556, dtype=float32), 'Mean Episode Length': Array(46.04762, dtype=float32)} step=9523200
{'Mean Episode Return': Array(11.871729, dtype=float32), 'Mean Episode Length': Array(46.286224, dtype=float32)} step=9574400
