{'Mean Episode Return': Array(19.86437, dtype=float32), 'Mean Episode Length': Array(63.588177, dtype=float32)} step=13516800
{'Mean Episode Return': Array(20.348673, dtype=float32), 'Mean Episode Length': Array(64.64963, dtype=float32)} step=13721600
{'Mean Episode Return': Array(19.980627, dtype=float32), 'Mean Episode Length': Array(63.84946, dtype=float32)} step=13926400
{'Mean Episode Return': Array(20.282534, dtype=float32), 'Mean Episode Length': Array(64.65418, dtype=float32)} step=14131200
{'Mean Episode Return': Array(19.991035, dtype=float32), 'Mean Episode Length': Array(63.935093, dtype=float32)} step=14336000
{'Mean Episode Return': Array(20.105679, dtype=float32), 'Mean Episode Length': Array(64.49441, dtype=float32)} step=14540800
{'Mean Episode Return': Array(20.112717, dtype=float32), 'Mean Episode Length': Array(64.50619, dtype=float32)} step=14745600
{'Mean Episode Return': Array(20.57006, dtype=float32), 'Mean Episode Length': Array(65.310005, dtype=float32)} step=14950400
{'Mean Episode Return': Array(20.574638, dtype=float32), 'Mean Episode Length': Array(65.18627, dtype=float32)} step=15155200
{'Mean Episode Return': Array(20.448874, dtype=float32), 'Mean Episode Length': Array(64.74557, dtype=float32)} step=15360000
{'Mean Episode Return': Array(20.605026, dtype=float32), 'Mean Episode Length': Array(65.164154, dtype=float32)} step=15564800
{'Mean Episode Return': Array(20.675941, dtype=float32), 'Mean Episode Length': Array(64.92891, dtype=float32)} step=15769600
{'Mean Episode Return': Array(20.636337, dtype=float32), 'Mean Episode Length': Array(65.36039, dtype=float32)} step=15974400
{'Mean Episode Return': Array(20.60944, dtype=float32), 'Mean Episode Length': Array(65.487434, dtype=float32)} step=16179200
{'Mean Episode Return': Array(20.870886, dtype=float32), 'Mean Episode Length': Array(65.44597, dtype=float32)} step=16384000
{'Mean Episode Return': Array(20.897352, dtype=float32), 'Mean Episode Length': Array(65.280594, dtype=float32)} step=16588800
{'Mean Episode Return': Array(21.241968, dtype=float32), 'Mean Episode Length': Array(65.921104, dtype=float32)} step=16793600
{'Mean Episode Return': Array(21.154375, dtype=float32), 'Mean Episode Length': Array(65.81102, dtype=float32)} step=16998400
{'Mean Episode Return': Array(21.225273, dtype=float32), 'Mean Episode Length': Array(65.55645, dtype=float32)} step=17203200
{'Mean Episode Return': Array(21.377878, dtype=float32), 'Mean Episode Length': Array(66.29933, dtype=float32)} step=17408000
{'Mean Episode Return': Array(21.382198, dtype=float32), 'Mean Episode Length': Array(65.497406, dtype=float32)} step=17612800
{'Mean Episode Return': Array(21.152948, dtype=float32), 'Mean Episode Length': Array(65.43826, dtype=float32)} step=17817600
{'Mean Episode Return': Array(21.393452, dtype=float32), 'Mean Episode Length': Array(65.53726, dtype=float32)} step=18022400
{'Mean Episode Return': Array(21.770557, dtype=float32), 'Mean Episode Length': Array(66.9507, dtype=float32)} step=18227200
{'Mean Episode Return': Array(21.376831, dtype=float32), 'Mean Episode Length': Array(65.94305, dtype=float32)} step=18432000
{'Mean Episode Return': Array(21.65126, dtype=float32), 'Mean Episode Length': Array(66.41492, dtype=float32)} step=18636800
{'Mean Episode Return': Array(21.349138, dtype=float32), 'Mean Episode Length': Array(65.7849, dtype=float32)} step=18841600
{'Mean Episode Return': Array(21.780945, dtype=float32), 'Mean Episode Length': Array(66.80247, dtype=float32)} step=19046400
{'Mean Episode Return': Array(21.713884, dtype=float32), 'Mean Episode Length': Array(66.77375, dtype=float32)} step=19251200
{'Mean Episode Return': Array(21.90471, dtype=float32), 'Mean Episode Length': Array(66.64373, dtype=float32)} step=19456000
{'Mean Episode Return': Array(21.6499, dtype=float32), 'Mean Episode Length': Array(66.22589, dtype=float32)} step=19660800
{'Mean Episode Return': Array(21.79796, dtype=float32), 'Mean Episode Length': Array(66.772606, dtype=float32)} step=19865600
{'Mean Episode Return': Array(22.049297, dtype=float32), 'Mean Episode Length': Array(67.00197, dtype=float32)} step=20070400
{'Mean Episode Return': Array(22.003128, dtype=float32), 'Mean Episode Length': Array(66.912834, dtype=float32)} step=20275200
