{'Mean Episode Return': Array(28.722765, dtype=float32), 'Mean Episode Length': Array(70.26569, dtype=float32)} step=6758400
{'Mean Episode Return': Array(30.076574, dtype=float32), 'Mean Episode Length': Array(73.34349, dtype=float32)} step=6809600
{'Mean Episode Return': Array(28.47225, dtype=float32), 'Mean Episode Length': Array(71.51052, dtype=float32)} step=6860800
{'Mean Episode Return': Array(29.382393, dtype=float32), 'Mean Episode Length': Array(73.942566, dtype=float32)} step=6912000
{'Mean Episode Return': Array(29.268023, dtype=float32), 'Mean Episode Length': Array(73.93838, dtype=float32)} step=6963200
{'Mean Episode Return': Array(28.918642, dtype=float32), 'Mean Episode Length': Array(72.65963, dtype=float32)} step=7014400
{'Mean Episode Return': Array(29.480532, dtype=float32), 'Mean Episode Length': Array(73.06777, dtype=float32)} step=7065600
{'Mean Episode Return': Array(30.045881, dtype=float32), 'Mean Episode Length': Array(75.372955, dtype=float32)} step=7116800
{'Mean Episode Return': Array(30.037119, dtype=float32), 'Mean Episode Length': Array(74.82454, dtype=float32)} step=7168000
{'Mean Episode Return': Array(30.16205, dtype=float32), 'Mean Episode Length': Array(75.8644, dtype=float32)} step=7219200
{'Mean Episode Return': Array(31.032013, dtype=float32), 'Mean Episode Length': Array(77.92019, dtype=float32)} step=7270400
{'Mean Episode Return': Array(30.736652, dtype=float32), 'Mean Episode Length': Array(77.556206, dtype=float32)} step=7321600
{'Mean Episode Return': Array(30.3994, dtype=float32), 'Mean Episode Length': Array(76.260994, dtype=float32)} step=7372800
{'Mean Episode Return': Array(28.230253, dtype=float32), 'Mean Episode Length': Array(71.37589, dtype=float32)} step=7424000
{'Mean Episode Return': Array(27.907053, dtype=float32), 'Mean Episode Length': Array(71.11726, dtype=float32)} step=7475200
{'Mean Episode Return': Array(25.98149, dtype=float32), 'Mean Episode Length': Array(66.44035, dtype=float32)} step=7526400
{'Mean Episode Return': Array(26.462278, dtype=float32), 'Mean Episode Length': Array(66.42452, dtype=float32)} step=7577600
{'Mean Episode Return': Array(26.616049, dtype=float32), 'Mean Episode Length': Array(68.06006, dtype=float32)} step=7628800
{'Mean Episode Return': Array(26.772007, dtype=float32), 'Mean Episode Length': Array(68.07692, dtype=float32)} step=7680000
{'Mean Episode Return': Array(26.267212, dtype=float32), 'Mean Episode Length': Array(66.83929, dtype=float32)} step=7731200
{'Mean Episode Return': Array(25.403429, dtype=float32), 'Mean Episode Length': Array(69.22555, dtype=float32)} step=7782400
{'Mean Episode Return': Array(25.813528, dtype=float32), 'Mean Episode Length': Array(69.93324, dtype=float32)} step=7833600
{'Mean Episode Return': Array(26.809362, dtype=float32), 'Mean Episode Length': Array(70.43692, dtype=float32)} step=7884800
{'Mean Episode Return': Array(26.70563, dtype=float32), 'Mean Episode Length': Array(68.66894, dtype=float32)} step=7936000
{'Mean Episode Return': Array(27.435898, dtype=float32), 'Mean Episode Length': Array(69.07578, dtype=float32)} step=7987200
{'Mean Episode Return': Array(27.245537, dtype=float32), 'Mean Episode Length': Array(69.65735, dtype=float32)} step=8038400
{'Mean Episode Return': Array(28.395964, dtype=float32), 'Mean Episode Length': Array(70.70894, dtype=float32)} step=8089600
{'Mean Episode Return': Array(28.56285, dtype=float32), 'Mean Episode Length': Array(69.531525, dtype=float32)} step=8140800
