{'Mean Episode Return': Array(0.03701083, dtype=float32), 'Mean Episode Length': Array(60.725002, dtype=float32)} step=14336000
{'Mean Episode Return': Array(0.03503758, dtype=float32), 'Mean Episode Length': Array(61.266727, dtype=float32)} step=14540800
{'Mean Episode Return': Array(0.03547951, dtype=float32), 'Mean Episode Length': Array(61.768303, dtype=float32)} step=14745600
{'Mean Episode Return': Array(0.03609809, dtype=float32), 'Mean Episode Length': Array(60.9994, dtype=float32)} step=14950400
{'Mean Episode Return': Array(0.03777484, dtype=float32), 'Mean Episode Length': Array(61.678238, dtype=float32)} step=15155200
{'Mean Episode Return': Array(0.03300563, dtype=float32), 'Mean Episode Length': Array(61.393894, dtype=float32)} step=15360000
{'Mean Episode Return': Array(0.03507761, dtype=float32), 'Mean Episode Length': Array(61.39752, dtype=float32)} step=15564800
{'Mean Episode Return': Array(0.03638952, dtype=float32), 'Mean Episode Length': Array(61.23719, dtype=float32)} step=15769600
{'Mean Episode Return': Array(0.03501605, dtype=float32), 'Mean Episode Length': Array(61.954517, dtype=float32)} step=15974400
{'Mean Episode Return': Array(0.0330856, dtype=float32), 'Mean Episode Length': Array(62.621983, dtype=float32)} step=16179200
{'Mean Episode Return': Array(0.03423319, dtype=float32), 'Mean Episode Length': Array(62.72524, dtype=float32)} step=16384000
{'Mean Episode Return': Array(0.03457519, dtype=float32), 'Mean Episode Length': Array(62.3858, dtype=float32)} step=16588800
{'Mean Episode Return': Array(0.03572427, dtype=float32), 'Mean Episode Length': Array(61.69813, dtype=float32)} step=16793600
{'Mean Episode Return': Array(0.03424112, dtype=float32), 'Mean Episode Length': Array(62.182922, dtype=float32)} step=16998400
{'Mean Episode Return': Array(0.03609977, dtype=float32), 'Mean Episode Length': Array(61.821117, dtype=float32)} step=17203200
{'Mean Episode Return': Array(0.033933, dtype=float32), 'Mean Episode Length': Array(62.278183, dtype=float32)} step=17408000
{'Mean Episode Return': Array(0.03785817, dtype=float32), 'Mean Episode Length': Array(62.207138, dtype=float32)} step=17612800
{'Mean Episode Return': Array(0.03769686, dtype=float32), 'Mean Episode Length': Array(61.914886, dtype=float32)} step=17817600
{'Mean Episode Return': Array(0.03388535, dtype=float32), 'Mean Episode Length': Array(62.672157, dtype=float32)} step=18022400
{'Mean Episode Return': Array(0.03663187, dtype=float32), 'Mean Episode Length': Array(62.867096, dtype=float32)} step=18227200
{'Mean Episode Return': Array(0.03636772, dtype=float32), 'Mean Episode Length': Array(62.41075, dtype=float32)} step=18432000
{'Mean Episode Return': Array(0.03478791, dtype=float32), 'Mean Episode Length': Array(62.882065, dtype=float32)} step=18636800
{'Mean Episode Return': Array(0.03131068, dtype=float32), 'Mean Episode Length': Array(63.26557, dtype=float32)} step=18841600
{'Mean Episode Return': Array(0.0360912, dtype=float32), 'Mean Episode Length': Array(63.413166, dtype=float32)} step=19046400
{'Mean Episode Return': Array(0.03474976, dtype=float32), 'Mean Episode Length': Array(63.861668, dtype=float32)} step=19251200
{'Mean Episode Return': Array(0.03225904, dtype=float32), 'Mean Episode Length': Array(64.03023, dtype=float32)} step=19456000
{'Mean Episode Return': Array(0.03646282, dtype=float32), 'Mean Episode Length': Array(63.507362, dtype=float32)} step=19660800
{'Mean Episode Return': Array(0.03661735, dtype=float32), 'Mean Episode Length': Array(63.301968, dtype=float32)} step=19865600
{'Mean Episode Return': Array(0.03669742, dtype=float32), 'Mean Episode Length': Array(63.20124, dtype=float32)} step=20070400
{'Mean Episode Return': Array(0.03260402, dtype=float32), 'Mean Episode Length': Array(63.054047, dtype=float32)} step=20275200
{'Mean Episode Return': Array(0.03180566, dtype=float32), 'Mean Episode Length': Array(63.193447, dtype=float32)} step=20480000
{'Mean Episode Return': Array(0.03644843, dtype=float32), 'Mean Episode Length': Array(63.452915, dtype=float32)} step=20684800
{'Mean Episode Return': Array(0.03584218, dtype=float32), 'Mean Episode Length': Array(64.24675, dtype=float32)} step=20889600
{'Mean Episode Return': Array(0.033715, dtype=float32), 'Mean Episode Length': Array(63.158234, dtype=float32)} step=21094400
{'Mean Episode Return': Array(0.03549822, dtype=float32), 'Mean Episode Length': Array(63.734592, dtype=float32)} step=21299200
{'Mean Episode Return': Array(0.03427539, dtype=float32), 'Mean Episode Length': Array(63.36484, dtype=float32)} step=21504000
{'Mean Episode Return': Array(0.03621995, dtype=float32), 'Mean Episode Length': Array(64.09003, dtype=float32)} step=21708800
{'Mean Episode Return': Array(0.03143759, dtype=float32), 'Mean Episode Length': Array(63.55995, dtype=float32)} step=21913600
{'Mean Episode Return': Array(0.03427047, dtype=float32), 'Mean Episode Length': Array(63.0646, dtype=float32)} step=22118400
{'Mean Episode Return': Array(0.03223216, dtype=float32), 'Mean Episode Length': Array(63.964466, dtype=float32)} step=22323200
{'Mean Episode Return': Array(0.03243241, dtype=float32), 'Mean Episode Length': Array(64.36462, dtype=float32)} step=22528000
{'Mean Episode Return': Array(0.02977949, dtype=float32), 'Mean Episode Length': Array(64.52244, dtype=float32)} step=22732800
{'Mean Episode Return': Array(0.03284313, dtype=float32), 'Mean Episode Length': Array(64.43154, dtype=float32)} step=22937600
{'Mean Episode Return': Array(0.02937206, dtype=float32), 'Mean Episode Length': Array(64.19079, dtype=float32)} step=23142400
{'Mean Episode Return': Array(0.03276398, dtype=float32), 'Mean Episode Length': Array(64.9882, dtype=float32)} step=23347200
{'Mean Episode Return': Array(0.02961251, dtype=float32), 'Mean Episode Length': Array(64.49857, dtype=float32)} step=23552000
{'Mean Episode Return': Array(0.02938539, dtype=float32), 'Mean Episode Length': Array(65.65667, dtype=float32)} step=23756800
{'Mean Episode Return': Array(0.03254279, dtype=float32), 'Mean Episode Length': Array(65.3341, dtype=float32)} step=23961600
{'Mean Episode Return': Array(0.03029246, dtype=float32), 'Mean Episode Length': Array(65.927055, dtype=float32)} step=24166400
{'Mean Episode Return': Array(0.03112943, dtype=float32), 'Mean Episode Length': Array(64.35764, dtype=float32)} step=24371200
{'Mean Episode Return': Array(0.03271971, dtype=float32), 'Mean Episode Length': Array(63.446426, dtype=float32)} step=24576000
{'Mean Episode Return': Array(0.02833544, dtype=float32), 'Mean Episode Length': Array(64.066246, dtype=float32)} step=24780800
{'Mean Episode Return': Array(0.02619072, dtype=float32), 'Mean Episode Length': Array(64.14024, dtype=float32)} step=24985600
{'Mean Episode Return': Array(0.02891127, dtype=float32), 'Mean Episode Length': Array(64.06601, dtype=float32)} step=25190400
{'Mean Episode Return': Array(0.02987748, dtype=float32), 'Mean Episode Length': Array(64.86428, dtype=float32)} step=25395200
{'Mean Episode Return': Array(0.02585313, dtype=float32), 'Mean Episode Length': Array(63.742527, dtype=float32)} step=25600000
{'Mean Episode Return': Array(0.02901617, dtype=float32), 'Mean Episode Length': Array(63.467052, dtype=float32)} step=25804800
{'Mean Episode Return': Array(0.02567247, dtype=float32), 'Mean Episode Length': Array(62.368164, dtype=float32)} step=26009600
{'Mean Episode Return': Array(0.02583529, dtype=float32), 'Mean Episode Length': Array(62.890053, dtype=float32)} step=26214400
{'Mean Episode Return': Array(0.02852089, dtype=float32), 'Mean Episode Length': Array(63.60982, dtype=float32)} step=26419200
{'Mean Episode Return': Array(0.02769116, dtype=float32), 'Mean Episode Length': Array(64.50203, dtype=float32)} step=26624000
{'Mean Episode Return': Array(0.02558411, dtype=float32), 'Mean Episode Length': Array(65.23348, dtype=float32)} step=26828800
{'Mean Episode Return': Array(0.02705862, dtype=float32), 'Mean Episode Length': Array(65.32091, dtype=float32)} step=27033600
{'Mean Episode Return': Array(0.02549292, dtype=float32), 'Mean Episode Length': Array(65.44566, dtype=float32)} step=27238400
{'Mean Episode Return': Array(0.02529754, dtype=float32), 'Mean Episode Length': Array(65.302925, dtype=float32)} step=27443200
{'Mean Episode Return': Array(0.02384879, dtype=float32), 'Mean Episode Length': Array(66.65183, dtype=float32)} step=27648000
{'Mean Episode Return': Array(0.02520226, dtype=float32), 'Mean Episode Length': Array(66.935425, dtype=float32)} step=27852800
{'Mean Episode Return': Array(0.02178932, dtype=float32), 'Mean Episode Length': Array(67.29067, dtype=float32)} step=28057600
{'Mean Episode Return': Array(0.02341389, dtype=float32), 'Mean Episode Length': Array(67.95761, dtype=float32)} step=28262400
{'Mean Episode Return': Array(0.02624689, dtype=float32), 'Mean Episode Length': Array(68.11806, dtype=float32)} step=28467200
{'Mean Episode Return': Array(0.02369794, dtype=float32), 'Mean Episode Length': Array(67.90508, dtype=float32)} step=28672000
{'Mean Episode Return': Array(0.02401382, dtype=float32), 'Mean Episode Length': Array(68.245445, dtype=float32)} step=28876800
{'Mean Episode Return': Array(0.02312573, dtype=float32), 'Mean Episode Length': Array(68.206375, dtype=float32)} step=29081600
{'Mean Episode Return': Array(0.02450212, dtype=float32), 'Mean Episode Length': Array(67.27276, dtype=float32)} step=29286400
{'Mean Episode Return': Array(0.02106745, dtype=float32), 'Mean Episode Length': Array(66.150696, dtype=float32)} step=29491200
{'Mean Episode Return': Array(0.02030791, dtype=float32), 'Mean Episode Length': Array(66.87677, dtype=float32)} step=29696000
{'Mean Episode Return': Array(0.02086157, dtype=float32), 'Mean Episode Length': Array(66.39715, dtype=float32)} step=29900800
{'Mean Episode Return': Array(0.02471726, dtype=float32), 'Mean Episode Length': Array(66.91474, dtype=float32)} step=30105600
{'Mean Episode Return': Array(0.02225592, dtype=float32), 'Mean Episode Length': Array(67.63225, dtype=float32)} step=30310400
{'Mean Episode Return': Array(0.02171357, dtype=float32), 'Mean Episode Length': Array(66.04493, dtype=float32)} step=30515200
