Timestep,q_hip_flexion_r,q_hip_adduction_r,q_hip_rotation_r,q_knee_angle_r,q_ankle_angle_r,q_hip_flexion_l,q_hip_adduction_l,q_hip_rotation_l,q_knee_angle_l,q_ankle_angle_l,q_lumbar_extension,q_lumbar_bending,q_lumbar_rotation,q_arm_flex_r,q_arm_add_r,q_arm_rot_r,q_elbow_flex_r,q_pro_sup_r,q_wrist_flex_r,q_wrist_dev_r,q_arm_flex_l,q_arm_add_l,q_arm_rot_l,q_elbow_flex_l,q_pro_sup_l,q_wrist_flex_l,q_wrist_dev_l,dq_hip_flexion_r,dq_hip_adduction_r,dq_hip_rotation_r,dq_knee_angle_r,dq_ankle_angle_r,dq_hip_flexion_l,dq_hip_adduction_l,dq_hip_rotation_l,dq_knee_angle_l,dq_ankle_angle_l,dq_lumbar_extension,dq_lumbar_bending,dq_lumbar_rotation,dq_arm_flex_r,dq_arm_add_r,dq_arm_rot_r,dq_elbow_flex_r,dq_pro_sup_r,dq_wrist_flex_r,dq_wrist_dev_r,dq_arm_flex_l,dq_arm_add_l,dq_arm_rot_l,dq_elbow_flex_l,dq_pro_sup_l,dq_wrist_flex_l,dq_wrist_dev_l
576,0.19832197,-0.1380931,-0.19357313,-0.4928653,0.06615235,-0.14452319,-0.021660442,0.14265884,-0.9568155,-0.15859365,-0.36297837,0.065629564,-0.33011046,-0.06639199,-0.34928083,0.22528711,0.7312375,1.6752726,0.0071828216,-0.009991525,0.007417218,-0.35767686,0.13665086,1.14272,1.6671028,0.00689252,-0.0060477406,-0.57232094,-0.5095679,0.40943372,-1.4015697,1.5709658,4.0087705,0.4833917,-0.6332956,-3.623462,-0.6675354,-0.39542726,-0.8588352,-1.0562307,0.71348614,2.186826,-1.57313,3.7452478,0.013972072,0.14914383,0.14244004,-4.9418073,-0.6888474,-3.40379,-0.057564855,0.06736266,0.03646715,0.046668008
577,0.1923683,-0.13995434,-0.18843555,-0.50194514,0.084127,-0.10295517,-0.01805867,0.13517885,-0.9893108,-0.16292314,-0.364014,0.059298605,-0.33787423,-0.056488957,-0.34242553,0.23548713,0.7803093,1.6754487,0.008411747,-0.009336111,-0.039583586,-0.35509402,0.1009118,1.1222217,1.6670978,0.007243853,-0.005970415,-0.6705175,-0.006656658,0.5547471,-0.5476988,1.8340397,4.2128735,0.30651277,-0.78210205,-2.9909415,-0.3282444,0.047965772,-0.50613797,-0.6229244,1.193221,-0.26770684,2.5399666,5.617953,0.020228578,0.10855513,0.027639285,-4.5300374,0.84966767,-3.6686893,-3.2910812,-0.031003503,0.032405037,-0.007778051
578,0.18278496,-0.13893235,-0.18285027,-0.50250256,0.10123921,-0.061447266,-0.014767446,0.12771532,-1.0157794,-0.1648549,-0.36420026,0.05457364,-0.34180596,-0.041553386,-0.35165069,0.26605454,0.84299177,1.6755551,0.009260237,-0.009421333,-0.07647838,-0.3466556,0.07704324,1.0811712,1.666922,0.007530021,-0.005780726,-1.0924582,0.1676023,0.55805236,0.2422652,1.5968746,4.157344,0.34201226,-0.71888447,-2.4395597,-0.088075206,-0.021327365,-0.4449692,-0.25469998,1.7117621,-1.3579018,3.3758461,6.673637,0.005999349,0.071203776,-0.025383918,-3.1714754,0.84745204,-1.6055171,-4.5950227,-0.010228633,0.027195651,0.031588815
579,0.16910937,-0.13798182,-0.17836125,-0.49359795,0.106582254,-0.019511074,-0.010004881,0.12147043,-1.0370308,-0.16432816,-0.36414245,0.048482608,-0.342155,-0.015708774,-0.36036557,0.29701617,0.8764651,1.6754541,0.009762969,-0.010571315,-0.10001245,-0.34772748,0.09585264,1.0479921,1.6670498,0.007144833,-0.0049089543,-1.4576548,0.08107271,0.4388789,1.1743817,0.17819962,4.2271867,0.5257414,-0.61269397,-1.9206548,0.16350776,0.03581139,-0.68967706,0.14725494,3.0893939,-0.5925241,2.9360292,1.3496239,-0.016948635,0.03875415,-0.14751159,-1.8482822,-0.68122405,4.0559406,-2.4498599,0.024297792,-0.06225502,0.10857369
580,0.15333033,-0.13640015,-0.17377561,-0.48092082,0.11289661,0.021883745,-0.005169499,0.115665816,-1.0531076,-0.16119476,-0.36507425,0.041789547,-0.33745167,0.014716947,-0.35567603,0.29417127,0.87079984,1.6756457,0.010249374,-0.011945817,-0.11669795,-0.3586144,0.15670194,1.0541259,1.6675522,0.006262336,-0.003478586,-1.7033662,0.19316462,0.44432443,1.3617244,0.81151855,4.049918,0.47067416,-0.53282356,-1.396414,0.40245277,-0.2050039,-0.6566333,0.6506119,3.0258965,1.1033467,-2.2118857,-1.7639073,0.03300391,0.04770684,-0.12660947,-1.516876,-1.3453548,7.3378544,2.5686777,0.060900852,-0.09461969,0.15066497
581,0.13388889,-0.13461328,-0.16965473,-0.46527988,0.1214689,0.060381204,0.0001191677,0.11120519,-1.063347,-0.15610437,-0.36874473,0.034937516,-0.32857746,0.040514458,-0.33886683,0.24782199,0.8469596,1.6763457,0.010331354,-0.013019587,-0.12482976,-0.36304873,0.21704917,1.078194,1.6682688,0.0060821455,-0.0028118328,-2.1597848,0.13252762,0.395587,1.6917994,0.8510023,3.644483,0.60346794,-0.3920351,-0.75951606,0.56743526,-0.54514337,-0.7409969,1.0198108,2.3410099,2.02356,-6.082506,-2.7590747,0.08288969,-0.0128933685,-0.094959676,-0.36178565,0.09614073,5.2757354,2.3293002,0.07280817,0.01568969,0.027194146
582,0.11083475,-0.13444626,-0.16617353,-0.44558364,0.12478099,0.095708914,0.007585541,0.1077769,-1.0672824,-0.14882053,-0.37438646,0.02627428,-0.3184238,0.06325023,-0.31817457,0.17923297,0.81071705,1.6770798,0.009973263,-0.01379496,-0.13076594,-0.3438603,0.22184214,1.0930959,1.6691836,0.007153787,-0.0030350985,-2.3912065,-0.07815715,0.31715775,2.2096448,-0.2639333,3.4785752,0.8526235,-0.33767247,-0.15484354,0.8686392,-0.54485923,-0.97088426,1.0289875,2.2232208,2.0636952,-7.3313723,-4.147766,0.06626846,-0.046350528,-0.066379584,-0.7311703,3.0359302,-2.4015388,0.96403575,0.09400465,0.1396846,-0.043622833
583,0.088017076,-0.1346157,-0.16184144,-0.42514545,0.12752815,0.12945479,0.015214521,0.10366678,-1.0655463,-0.13718785,-0.37937972,0.01688886,-0.30693376,0.073118016,-0.32200313,0.15957367,0.8170562,1.6775793,0.008654714,-0.013374169,-0.14033185,-0.311134,0.19033551,1.0958781,1.6702131,0.007987318,-0.0038833288,-2.266128,0.0420842,0.49213722,1.9883382,0.51023436,3.2682843,0.683352,-0.4492585,0.3971002,1.3526092,-0.5018645,-0.8966973,1.2473534,0.1472691,-1.8824363,1.288091,3.5848045,0.043834426,-0.15836821,0.085017405,-1.0794996,3.4074833,-3.5871515,-0.15487495,0.10324994,0.054344103,-0.100067765
584,0.06520249,-0.13322766,-0.15658148,-0.40493178,0.13347864,0.16103294,0.020428278,0.09849767,-1.058493,-0.12037403,-0.3844023,0.008557668,-0.29327068,0.073790826,-0.34917507,0.19277218,0.86243737,1.6778538,0.007443355,-0.012676566,-0.14310247,-0.28431422,0.17325173,1.0756819,1.6710042,0.008329592,-0.0050651855,-2.2187428,0.24818657,0.54824734,2.0605488,0.6025237,3.168091,0.357702,-0.578496,0.8842533,1.9723462,-0.41395023,-0.7417651,1.4732585,0.009450256,-3.2528238,4.4854836,5.139772,0.02073436,-0.09892622,0.059399575,0.2086062,2.2369542,-0.582121,-3.2209651,0.067093596,0.025689458,-0.12009647
585,0.042169873,-0.1314073,-0.15170316,-0.38194785,0.13435166,0.1917482,0.023522979,0.0918706,-1.0457876,-0.098729774,-0.3883809,-0.0008133642,-0.28101194,0.085116744,-0.36737382,0.22637834,0.8766263,1.677939,0.006811584,-0.012860415,-0.14280474,-0.26775408,0.15793358,1.044332,1.6715047,0.009061104,-0.0058607357,-2.320688,0.16033712,0.46710837,2.4008205,-0.06861339,3.0164242,0.25385755,-0.72338545,1.532397,2.2302175,-0.37294927,-1.0447447,1.0905949,1.8061904,-0.910464,2.7290432,-0.86316806,0.0022435999,-0.04584066,-0.04814338,-0.06522208,1.2740294,-2.1240563,-3.0904262,0.040602528,0.09143528,-0.05897682
