{'Mean Episode Return': Array(2.1915433, dtype=float32), 'Mean Episode Length': Array(62.631187, dtype=float32)} step=3532800
{'Mean Episode Return': Array(2.1917918, dtype=float32), 'Mean Episode Length': Array(62.43691, dtype=float32)} step=3584000
{'Mean Episode Return': Array(2.249497, dtype=float32), 'Mean Episode Length': Array(61.21963, dtype=float32)} step=3635200
{'Mean Episode Return': Array(2.3131306, dtype=float32), 'Mean Episode Length': Array(63.423122, dtype=float32)} step=3686400
{'Mean Episode Return': Array(2.221633, dtype=float32), 'Mean Episode Length': Array(62.485073, dtype=float32)} step=3737600
{'Mean Episode Return': Array(2.228687, dtype=float32), 'Mean Episode Length': Array(63.98411, dtype=float32)} step=3788800
{'Mean Episode Return': Array(2.2846177, dtype=float32), 'Mean Episode Length': Array(62.03507, dtype=float32)} step=3840000
{'Mean Episode Return': Array(2.1486356, dtype=float32), 'Mean Episode Length': Array(61.517326, dtype=float32)} step=3891200
{'Mean Episode Return': Array(2.2383132, dtype=float32), 'Mean Episode Length': Array(63.23391, dtype=float32)} step=3942400
{'Mean Episode Return': Array(2.189792, dtype=float32), 'Mean Episode Length': Array(63.612545, dtype=float32)} step=3993600
{'Mean Episode Return': Array(2.2230794, dtype=float32), 'Mean Episode Length': Array(64.173706, dtype=float32)} step=4044800
{'Mean Episode Return': Array(2.232349, dtype=float32), 'Mean Episode Length': Array(62.949493, dtype=float32)} step=4096000
{'Mean Episode Return': Array(2.264547, dtype=float32), 'Mean Episode Length': Array(63.042027, dtype=float32)} step=4147200
{'Mean Episode Return': Array(2.2165158, dtype=float32), 'Mean Episode Length': Array(62.3658, dtype=float32)} step=4198400
{'Mean Episode Return': Array(2.241138, dtype=float32), 'Mean Episode Length': Array(61.891758, dtype=float32)} step=4249600
{'Mean Episode Return': Array(2.2590427, dtype=float32), 'Mean Episode Length': Array(63.843468, dtype=float32)} step=4300800
{'Mean Episode Return': Array(2.3218079, dtype=float32), 'Mean Episode Length': Array(63.51108, dtype=float32)} step=4352000
{'Mean Episode Return': Array(2.350691, dtype=float32), 'Mean Episode Length': Array(64.67315, dtype=float32)} step=4403200
{'Mean Episode Return': Array(2.3056996, dtype=float32), 'Mean Episode Length': Array(62.13962, dtype=float32)} step=4454400
{'Mean Episode Return': Array(2.2094672, dtype=float32), 'Mean Episode Length': Array(63.80535, dtype=float32)} step=4505600
