Timestep,q_hip_flexion_r,q_hip_adduction_r,q_hip_rotation_r,q_knee_angle_r,q_ankle_angle_r,q_hip_flexion_l,q_hip_adduction_l,q_hip_rotation_l,q_knee_angle_l,q_ankle_angle_l,q_lumbar_extension,q_lumbar_bending,q_lumbar_rotation,q_arm_flex_r,q_arm_add_r,q_arm_rot_r,q_elbow_flex_r,q_pro_sup_r,q_wrist_flex_r,q_wrist_dev_r,q_arm_flex_l,q_arm_add_l,q_arm_rot_l,q_elbow_flex_l,q_pro_sup_l,q_wrist_flex_l,q_wrist_dev_l,dq_hip_flexion_r,dq_hip_adduction_r,dq_hip_rotation_r,dq_knee_angle_r,dq_ankle_angle_r,dq_hip_flexion_l,dq_hip_adduction_l,dq_hip_rotation_l,dq_knee_angle_l,dq_ankle_angle_l,dq_lumbar_extension,dq_lumbar_bending,dq_lumbar_rotation,dq_arm_flex_r,dq_arm_add_r,dq_arm_rot_r,dq_elbow_flex_r,dq_pro_sup_r,dq_wrist_flex_r,dq_wrist_dev_r,dq_arm_flex_l,dq_arm_add_l,dq_arm_rot_l,dq_elbow_flex_l,dq_pro_sup_l,dq_wrist_flex_l,dq_wrist_dev_l
10,-20.253794,4.628528,-8.875665,0.5752738,7.924154,21.537271,-5.7696505,6.266295,-8.199603,-3.429049,-18.353588,1.8322427,6.960519,5.9552374,-23.490364,16.93508,63.70778,93.67712,-0.2462763,0.8186537,-20.22307,-20.49533,-11.154052,50.231457,93.56838,-1.1287085,1.2008393,-70.37442,-3.5747318,45.20279,-8.131167,14.847603,-4.938914,-18.581758,-38.726826,222.55681,6.4274974,-16.889574,-2.1167414,95.557816,47.388206,31.293324,-1.9496268,24.26993,-23.213257,-1.5544249,-0.13135539,-76.45837,6.9707823,-31.879837,-57.064552,-30.132982,-1.5125282,-1.7243143
11,-20.943546,4.524983,-8.39853,0.36416537,8.173377,21.447107,-5.867831,5.7887707,-6.2070694,-3.123963,-18.538057,1.7813389,7.9280057,6.2999525,-23.361916,16.855192,63.961433,93.48975,-0.25018004,0.8097083,-20.91311,-20.196417,-11.437423,49.551487,93.33746,-1.134222,1.1811106,-66.51136,-11.473537,49.532795,-29.908949,30.741768,-10.029946,-7.459653,-53.243828,183.11476,48.86877,-17.717361,-3.205684,98.63888,25.474154,-0.24773225,-11.651225,26.219633,-16.129002,0.14144346,-1.2066169,-64.36717,45.640347,-25.359137,-75.2407,-19.18995,-0.10488328,-2.011186
12,-21.562618,4.373224,-7.911896,-0.042357598,8.587723,21.349642,-5.8737383,5.190904,-4.609899,-2.3669043,-18.660717,1.7224743,8.874961,6.4189863,-23.360397,16.612576,64.19279,93.35493,-0.24200548,0.79613376,-21.617796,-19.586824,-11.824105,48.786602,93.18872,-1.1248733,1.1654106,-57.606037,-17.996296,48.601128,-48.504868,48.78904,-8.750452,3.8706322,-63.55645,143.73737,93.74323,-7.728276,-8.034349,92.41918,3.0284922,0.4199854,-31.721457,20.809391,-11.867583,1.0813992,-1.3817006,-74.66526,70.67249,-46.464375,-77.38678,-12.4723425,1.3528651,-1.3241111
13,-22.113289,4.1672435,-7.4293575,-0.6162088,9.093646,21.24923,-5.784297,4.5304017,-3.4215305,-1.2274814,-18.7016,1.62677,9.750257,6.4434066,-23.402985,16.456314,64.31551,93.254005,-0.22311471,0.78000647,-22.4244,-18.785444,-12.13178,48.046318,93.08646,-1.114468,1.1577593,-54.60007,-21.45687,47.57158,-61.019547,46.985382,-10.796843,11.911675,-66.44328,101.293434,124.403175,-1.5976481,-9.970081,83.73809,1.8253447,-6.8101096,-5.672474,6.064563,-8.959012,2.2089963,-1.6598035,-84.49939,86.69782,-20.934654,-72.597565,-8.88192,0.8797042,-0.49362916
14,-22.688446,3.964808,-6.961065,-1.2609154,9.442306,21.11267,-5.6462717,3.8865867,-2.6877265,-0.24291737,-18.722614,1.5465106,10.549732,6.473362,-23.526728,16.435163,64.261536,93.17699,-0.18886513,0.76064587,-23.23997,-17.836569,-12.135213,47.29536,92.9994,-1.1079996,1.1560438,-59.76951,-18.483013,46.29105,-66.00544,25.296936,-14.720317,14.218795,-61.78011,53.765163,64.01681,-2.6070313,-5.948701,77.27835,3.6581237,-15.9545765,-0.12228052,-12.920117,-6.8873863,3.8634639,-1.98933,-79.38997,100.663574,12.422565,-76.91624,-8.336574,0.5389212,-0.016202308
15,-23.269407,3.7713912,-6.504311,-1.968687,9.640568,20.992546,-5.4726114,3.2991185,-2.4474354,-0.117254935,-18.713156,1.463016,11.279513,6.458557,-23.657938,16.314957,64.14117,93.117424,-0.14905305,0.74948454,-23.982492,-16.845938,-11.798402,46.394184,92.919846,-1.1022426,1.1551391,-54.875294,-20.90102,46.118053,-75.416115,19.323872,-9.139576,19.600122,-57.33019,4.753687,-13.528954,4.789423,-11.056284,70.7104,-4.8880415,-11.131952,-19.236956,-11.637865,-5.3524747,3.8931222,-0.6922145,-71.4985,98.1544,46.388412,-97.97057,-7.5172586,0.5907139,-0.10197461
16,-23.81557,3.5656807,-6.0556808,-2.754653,9.782283,20.906778,-5.260781,2.7754042,-2.6501665,-0.34944004,-18.63983,1.3230518,11.941912,6.404857,-23.705107,16.0055,63.990433,93.074814,-0.116929114,0.7552998,-24.684465,-15.837412,-11.424047,45.542343,92.84512,-1.0889683,1.1596124,-55.755558,-18.326866,43.36618,-78.05802,7.4272013,-8.341051,20.956955,-48.08384,-35.342915,-26.82756,9.277236,-14.028731,62.701298,-5.787707,-0.78035825,-38.17098,-17.388096,-3.6409223,2.788419,1.1349274,-69.180885,102.69766,32.19877,-77.46084,-7.2194824,1.6089952,0.6626537
17,-24.376131,3.423578,-5.6537066,-3.4977767,9.748822,20.851166,-5.0499263,2.351505,-3.1885304,-0.7005142,-18.475641,1.1799078,12.539728,6.227281,-23.713335,15.439406,63.798534,93.04662,-0.092258066,0.77012515,-25.352104,-14.914845,-11.023464,44.944534,92.77884,-1.0689825,1.1664833,-55.662907,-11.638755,37.833385,-71.23545,-10.52473,-2.994625,21.71096,-39.03351,-65.01066,-42.04171,22.393408,-14.84629,56.974792,-25.476496,-0.6956958,-67.6382,-20.979877,-2.3670084,2.2231822,1.5873429,-65.40709,85.41176,44.52879,-48.524723,-6.1471076,2.1235352,0.6578899
18,-24.909887,3.3021724,-5.3187118,-4.1712213,9.575514,20.863098,-4.775884,1.9858974,-3.9766788,-1.3053372,-18.136257,0.96790105,13.023824,5.8684664,-23.683264,14.729365,63.609226,93.02722,-0.072507285,0.7895642,-25.973587,-14.161415,-10.529002,44.46619,92.72987,-1.0470378,1.1726826,-51.70634,-14.010536,30.39902,-65.43104,-20.755852,3.6011162,32.82515,-35.371586,-87.67849,-74.44713,41.55705,-27.40988,41.722145,-42.24268,6.0623865,-72.49073,-18.181576,-1.6879525,1.7985413,2.0376732,-60.451168,68.440544,51.839283,-46.719852,-4.177593,2.1600635,0.5842029
19,-25.458866,3.1231182,-5.025676,-4.8458815,9.306461,20.823412,-4.3876495,1.6969259,-4.960617,-2.135395,-17.715542,0.5966258,13.366565,5.4784093,-23.65266,14.113166,63.318123,93.00831,-0.054011233,0.79371184,-26.532333,-13.534613,-9.97283,44.08409,92.687225,-1.0237073,1.1781057,-57.360146,-20.69725,29.38965,-71.13602,-30.882347,-11.364065,41.9415,-21.820244,-104.85659,-86.15804,40.1344,-43.97498,30.249315,-36.507587,1.0962225,-54.832767,-35.739834,-1.9157828,1.8246475,-0.31260487,-52.54245,58.987587,57.69345,-32.284508,-4.1678886,2.3413186,0.49814215
