Timestep,mot_shoulder_flex_r,mot_shoulder_add_r,mot_shoulder_rot_r,mot_elbow_flex_r,mot_pro_sup_r,mot_wrist_flex_r,mot_wrist_dev_r,mot_shoulder_flex_l,mot_shoulder_add_l,mot_shoulder_rot_l,mot_elbow_flex_l,mot_pro_sup_l,mot_wrist_flex_l,mot_wrist_dev_l
561,-10.277361,7.183998,2.2181313,0.5310972,36.60496,-4.4161854,10.557591,-0.5530887,-5.85941,-4.791039,3.2785316,27.12768,-11.086108,12.831874
562,0.79138446,-1.9764668,0.024767846,1.8821892,35.967457,-4.57879,10.24824,-2.3069525,-1.2737293,-3.1527686,3.1051369,27.438955,-11.620734,12.928661
563,12.751852,-14.752696,-4.4646044,7.7235103,34.943302,-3.8376193,10.311953,-4.372522,1.8077449,-0.9648541,3.9167366,27.075916,-11.701671,12.6780405
564,21.266438,-19.923805,-5.7061005,8.022818,34.01623,-3.09036,10.15042,-19.502022,1.4308128,5.6329446,-3.5706506,28.61766,-11.524939,13.03113
565,13.834014,-10.579117,-5.076628,10.89463,32.683216,-2.4382875,11.117538,-7.6972775,-12.674051,-4.763862,2.7233877,27.422771,-10.692299,12.598455
566,7.7562375,0.95824575,-0.025905827,3.1345317,31.358442,-3.062842,11.256309,11.840008,-7.091132,-7.292744,5.766673,26.722553,-10.702009,12.421361
567,9.505501,-6.533542,-4.5050116,4.2827134,32.16717,-2.6522837,10.342306,9.567633,1.9779088,3.5248032,5.7814727,27.53659,-9.709111,12.204486
568,-12.72057,3.805075,6.2553096,5.9608965,33.56511,-1.4857758,9.325697,-9.515513,-5.1966257,-0.46319914,4.5636067,29.063278,-10.97493,12.380843
569,-3.6520677,28.538864,10.077268,5.650377,30.523254,-2.5651715,10.823696,4.1962996,-12.952477,-4.837539,4.819692,28.442076,-10.077784,12.721957
570,0.76359427,-8.3630085,-0.45058402,4.4863825,32.87593,-2.4948888,9.867649,-2.9994931,7.635343,4.994799,-0.093095206,30.019125,-10.268904,12.535686
571,3.8866854,-17.986572,-5.0750237,3.0944738,33.17545,-2.3024619,9.675507,-14.5141945,12.570679,4.823781,-1.4593925,30.292889,-10.515825,12.758389
572,14.400758,-12.019132,-2.4259632,8.973647,32.731846,-2.0627956,9.544783,-3.8432395,10.903618,3.4060168,2.1958332,29.474205,-10.389094,12.641353
573,5.0748324,5.056889,2.4276903,7.1917496,32.651268,-2.164189,10.604078,7.9255867,-4.152751,-0.44765213,7.4663434,28.53243,-10.945949,12.709683
574,6.075889,-13.190868,-1.9957477,7.430504,32.897316,-2.2400973,10.290675,6.2244024,5.181808,-1.1780233,3.3297043,29.48032,-10.656754,12.75509
575,4.14148,2.302556,0.022844806,3.9653354,32.607502,-1.5705321,10.383893,8.220573,-1.750224,-0.9898431,7.903441,28.867613,-10.588139,12.565282
576,-1.6087412,-10.582429,-0.8197304,1.1437218,32.94614,-1.5308893,10.78662,1.4988765,-1.2400811,-2.273533,2.7034364,29.937275,-10.58209,12.947548
577,-2.572025,0.7750225,1.973493,1.9670261,32.524895,-1.6750276,10.971398,0.97707576,-9.801711,-1.7504025,2.1470456,29.245691,-10.838513,12.943196
578,-3.9063375,1.5818535,2.0027683,2.9670064,32.034935,-1.7245994,10.745694,-0.8743232,-13.2884655,-3.544371,0.46387616,29.69811,-10.755026,12.991403
579,1.4729644,-5.29294,-0.2166536,4.9320188,31.920288,-1.5655776,10.4297495,1.8301673,-9.077196,-2.752929,3.2917035,29.199787,-10.583411,12.794068
580,2.929631,-7.9066243,-2.3289068,2.6523786,31.789787,-1.3119278,10.182424,3.1090906,-4.3664513,-1.0388027,6.8527937,28.483313,-10.211744,12.30711
581,0.0062563154,-7.3788147,-1.9896829,1.1552399,31.78491,-1.3011229,10.307059,2.148271,-3.785133,-2.093473,5.2848716,28.607224,-10.109033,12.446876
582,0.6153767,-8.116872,-1.2156862,1.9828362,31.446774,-1.6145627,10.655535,7.265082,-9.134902,-3.0396051,4.0360527,28.57466,-10.023448,12.601124
583,-4.4745684,-7.74406,-1.0046806,1.7560664,30.872665,-2.2341506,11.206465,15.6443,-12.840951,-4.942812,4.60152,28.277323,-9.3220215,12.765208
584,-2.2900653,-1.0853211,-0.69483715,2.5857022,31.055645,-2.115834,10.985888,12.58171,-11.030865,-4.2754707,4.8158436,28.210705,-9.274205,12.7426605
585,13.414915,-15.069408,-5.49773,2.6492085,31.921257,-1.944534,9.73279,2.8049283,12.380695,6.1069756,4.2059803,28.881027,-9.508252,12.35521
