Timestep,root_0,root_1,root_2,root_3,root_4,root_5,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
98,0.0,0.0,0.0,6.3113894e-06,-5.933031e-07,3.2740463e-06,2.506639,-16.446194,2.2172742,42.854637,-8.093879,36.178677,3.3001459,-0.26220727,10.17158,3.4470875,-13.28077,-47.763474,-0.39207697,-11.244699,3.4132907,1.703421,1.4805583,34.13837,-4.585335,12.2839985,4.046771,-15.754391,-5.228199,2.9959586,27.151573,-10.8383465,13.428204
99,0.0,0.0,0.0,-1.269223e-05,1.68996e-06,1.909905e-06,1.2024703,-14.735064,1.9384027,40.951252,-6.343067,36.09433,3.27801,-0.20067708,10.083181,3.7687402,-14.352956,-44.17803,-2.2809036,-6.3472066,5.8771453,1.13078,4.733739,34.015137,-4.6330156,12.771847,8.920976,-1.781231,-1.7029862,5.044181,26.682579,-10.241691,13.2066965
100,0.0,0.0,0.0,-4.7686485e-06,-8.0989764e-07,-1.9596113e-05,0.7580247,-14.529306,1.8664873,39.222347,-6.1351633,35.700607,3.7275844,-0.2360899,10.419558,4.047148,-15.574014,-44.83746,-3.511151,-8.607824,0.41580305,2.2992191,-0.5611618,33.631245,-4.65189,12.589887,0.68390375,-8.814577,-3.6334348,0.7371465,27.5571,-10.807491,13.403271
101,0.0,0.0,0.0,-7.133772e-06,-2.0854661e-06,2.5487898e-06,0.06485844,-14.163456,1.870765,35.96071,-4.465547,34.35297,2.6651678,-0.87904745,12.763926,3.9320972,-17.18902,-50.70121,-2.8069103,2.814383,-18.538542,-6.902807,2.521392,33.13852,-4.563247,11.636018,-0.7934741,-10.055454,-6.564534,2.9789894,26.639378,-11.564372,13.486472
102,0.0,0.0,0.0,-7.3309034e-06,-4.4102742e-07,1.6041159e-06,2.7779746,-13.168838,1.8565445,32.572243,-2.164947,32.34384,2.004135,-0.79452676,14.34056,4.104634,-15.874272,-48.62905,-2.5724304,2.662726,-19.34069,-4.933568,2.2152526,35.16146,-4.2997456,10.825445,-9.173146,3.9604194,1.0117216,-0.64184463,27.670752,-11.609679,13.49605
103,0.0,0.0,0.0,3.507924e-06,-3.0540258e-07,-1.1043229e-05,2.514653,-12.928536,1.680923,33.94808,-1.8030784,30.72515,2.3571687,-0.6727135,12.123902,4.014866,-17.096308,-46.536713,-1.1796857,5.7020845,-28.840313,-7.0714407,4.1890254,34.441757,-3.750189,11.632114,-11.309921,11.343042,3.1921866,0.16046274,26.720913,-10.956347,13.718988
104,0.0,0.0,0.0,3.1445777e-06,1.041604e-06,7.4092316e-07,1.735831,-12.389422,1.6219547,37.575485,-1.5413344,32.09802,3.3961916,-0.47279397,9.877286,4.31809,-15.790095,-44.296192,-1.2643979,-13.971085,0.38670617,2.2054935,2.8471563,34.261982,-3.8385763,12.020288,-1.3624913,-8.058103,-5.8365602,-0.21503247,26.609821,-10.391948,13.511223
105,0.0,0.0,0.0,-2.345009e-06,-2.1330247e-06,1.1781531e-06,1.8142323,-12.512282,1.5665658,34.04801,-0.54456854,32.700962,2.5637014,-0.77207613,9.744679,5.2710304,-14.579822,-39.788975,-0.7626797,-3.4165075,4.008763,1.3621955,3.4448767,35.10261,-4.155233,11.098208,2.3629534,-6.111309,-3.075927,3.965346,27.547316,-11.528058,13.347504
106,0.0,0.0,0.0,1.8745185e-07,3.150953e-06,-8.472538e-06,3.1984658,-13.911842,1.775392,30.702892,-0.62956727,31.597637,2.20691,-1.2518685,9.196658,5.4041033,-17.525873,-33.77612,0.10368772,-2.9448538,0.6188054,0.01329954,4.7361875,34.464657,-4.1844225,10.299698,-4.575036,5.157534,-0.87935215,2.875899,28.039593,-11.358704,13.107753
107,0.0,0.0,0.0,5.8944543e-06,1.7063629e-06,1.0842928e-05,10.763329,-16.792734,2.2641306,28.342941,0.42732355,30.268948,2.370377,-1.3243285,8.53749,5.408498,-17.847168,-29.527315,0.10248879,-3.0076957,1.8800774,2.2700126,4.951185,34.34498,-3.7145946,9.520866,-7.64432,-10.986948,-1.7142961,0.41334084,28.295261,-11.877532,13.078181
108,0.0,0.0,0.0,5.698794e-06,-1.629374e-06,-2.0914493e-05,14.31579,-21.289793,2.5305848,21.497532,-20.592754,25.030909,0.88227534,-2.290819,7.187532,4.8853154,-19.440592,-22.18865,-1.4263443,-1.8908299,6.2426476,1.0747905,7.929383,32.2702,-2.8663375,9.726265,-0.62689304,-16.284178,-7.738881,10.359579,26.860163,-11.415211,12.397666
109,0.0,0.0,0.0,1.9867007e-06,-7.974721e-06,-5.3581325e-06,18.559938,-23.309914,2.6442947,14.765769,-55.270355,17.218803,2.4610686,-2.4111958,1.4188952,4.37059,-17.555119,-22.31045,-1.2378194,-3.801729,-6.1400185,1.3106323,-1.2819936,32.047466,-2.4503088,9.40509,-14.724802,1.6341588,7.1958833,-8.817324,29.462614,-11.211554,13.094844
110,0.0,0.0,0.0,-9.814763e-06,-4.209944e-06,8.1331775e-05,24.165226,-21.938019,2.9830053,-4.2681994,-104.246445,-0.31736565,6.253953,-3.28012,-10.4931345,4.1375556,-0.5531899,-39.3501,-6.789243,1.0929769,12.95827,4.747757,5.7800107,30.997627,-1.8658006,10.062091,7.4437284,-18.675837,-6.3708735,5.3607793,27.926746,-10.680818,12.514634
111,0.0,0.0,0.0,-1.108089e-06,-4.8442585e-06,-7.824074e-05,23.753075,-20.801743,2.5146518,-10.287985,-125.425606,-6.874739,5.979338,-2.6248932,-14.919224,4.015131,3.7348187,-39.452065,-8.318163,1.1714507,0.9798845,2.0329075,2.8904274,31.517818,-2.2389042,10.036484,0.44475302,-6.2313323,-1.5725148,2.0379813,28.469141,-10.077569,12.605026
112,0.0,0.0,0.0,-2.6007527e-05,-5.08133e-06,2.5857813e-05,22.919506,-19.458527,2.054601,-15.827164,-140.60442,-15.796775,7.768775,-2.8275728,-20.725143,4.1033144,5.0308256,-36.87536,-9.083411,-1.0248549,-5.1971693,-1.5872898,2.6215189,30.896215,-2.5901382,9.94452,14.861336,-11.827273,-4.9669743,7.5727262,27.580189,-9.324414,12.110315
113,0.0,0.0,0.0,-1.6385166e-05,-3.1172574e-06,2.9561137e-05,21.057747,-18.693588,1.784836,-18.922783,-134.82294,-17.812439,7.7943764,-2.8518217,-21.025856,3.9969692,10.369791,-31.26136,-7.0746384,-0.8942096,-10.2146435,-1.9440573,3.7559159,31.976149,-2.256744,9.628651,-1.1123524,2.1274424,0.19306342,1.5873094,29.085287,-9.787956,12.370615
114,0.0,0.0,0.0,-8.029805e-06,1.3139721e-05,-5.2798277e-05,21.5069,-19.09973,1.7165515,-19.335577,-125.46776,-18.216032,6.230904,-2.995528,-19.790058,3.851022,14.330644,-30.954039,-6.1772943,2.264432,-8.798085,-2.1107836,6.1216545,32.58898,-2.1836603,9.449598,-3.3916728,4.9246845,0.45762423,1.050427,29.276571,-10.6310215,12.488649
115,0.0,0.0,0.0,1.6180473e-05,4.449036e-06,-1.9120544e-05,20.56761,-20.487469,1.5637629,-18.347445,-114.658195,-18.347973,4.9975057,-2.9676297,-19.35292,3.1650424,14.695028,-30.673159,-6.127502,2.6468997,-3.012347,0.26423305,6.0576243,32.07017,-2.2843184,9.528915,3.6027045,-0.11910684,-1.6393558,3.417636,28.475172,-10.920597,12.393484
116,0.0,0.0,0.0,2.620616e-06,-4.0198805e-07,-9.9181925e-06,19.066912,-21.294312,1.1877658,-15.53833,-98.60863,-17.438591,3.863494,-2.8899977,-18.96238,2.5887132,12.761279,-27.139828,-5.8974533,-2.236651,3.3859272,3.0053658,5.960462,31.986256,-2.4193943,9.620801,9.832973,-10.876624,-4.5311813,5.8847113,27.516464,-11.065394,12.3893585
117,0.0,0.0,0.0,-6.148837e-06,8.063426e-06,6.2818553e-06,18.150864,-21.776262,0.6412511,-10.548286,-80.071075,-13.441041,3.4372158,-2.7770333,-17.23276,2.7003264,9.685379,-22.759705,-5.302593,-9.762135,-3.0810354,2.3666384,3.9810386,33.098846,-2.9508805,9.691386,7.0912666,-6.182386,-4.168335,6.6614437,27.270582,-11.161469,12.639238
118,0.0,0.0,0.0,7.0539554e-06,-8.753808e-06,-3.74356e-05,17.953003,-21.050362,0.26075637,-6.482598,-62.34553,-13.570519,2.6061988,-2.7236953,-20.146938,-1.9157777,4.510652,-20.444227,-6.181099,3.3695977,-0.04636171,1.6390464,6.822331,32.161175,-2.3399396,9.783806,13.448532,-1.6577064,-4.4009275,9.536608,26.43304,-11.278591,12.5595045
119,0.0,0.0,0.0,3.4983186e-06,-2.7918402e-06,1.0410269e-05,16.53822,-18.877436,0.009073019,-6.5328617,-48.7294,-18.597675,0.8209179,-3.58802,-21.29786,0.83117706,4.6203804,-17.27922,-5.1289854,25.95484,-11.164649,-0.5543486,5.942735,31.13564,-2.4318035,9.447585,8.578892,-0.07277934,-1.0425034,4.9502645,27.212639,-11.731927,12.302091
120,0.0,0.0,0.0,-7.4355166e-06,-3.784836e-06,2.0265334e-05,17.63982,-14.720644,0.20130795,-21.919973,-51.072857,-23.012814,1.205082,-3.8031929,-22.152184,2.086102,21.71804,-22.039574,-5.912293,-3.4717088,1.6152939,2.8992102,-1.4150165,32.608597,-1.6074065,9.920704,-3.9904876,12.388025,4.2538342,2.3267617,28.90445,-11.385912,12.463211
121,0.0,0.0,0.0,2.828575e-06,-1.3024771e-05,0.00010616463,20.775352,-12.936046,0.5024556,-38.16069,-131.52559,-53.909008,9.454496,-5.055154,-38.021736,2.8574514,34.096996,-31.375261,-8.672677,-20.707878,-4.085528,-1.1423018,-6.7064095,31.203787,-1.3726108,9.816654,-3.614799,-1.191419,6.7266545,-2.8113983,30.93852,-8.998114,11.975434
122,0.0,0.0,0.0,2.6343374e-05,2.8347752e-06,4.367829e-05,27.82829,-13.882755,0.9715932,-44.055264,-170.34195,-52.33057,10.265066,-4.5700803,-37.412945,2.4728687,48.15903,-46.26089,-11.390779,-18.485594,-5.972261,0.9879584,-4.9945126,32.106888,-1.1112388,9.765431,-16.783543,0.5960596,-0.2869963,-4.574804,31.438097,-9.520103,12.847675
123,0.0,0.0,0.0,-9.540061e-06,-3.108525e-05,-4.6272322e-05,33.345837,-20.328981,0.27197838,-40.530823,-167.25388,-49.1523,9.64579,-4.1909266,-35.96746,2.6284175,50.55741,-62.32976,-10.301066,-8.328809,3.9167252,0.056998007,1.7324481,32.495094,-1.0287131,9.429768,-20.767387,-1.6775043,-0.90357524,-3.5600822,31.213009,-10.763226,13.265149
124,0.0,0.0,0.0,2.5408126e-05,-1.01719415e-05,-0.0001582183,33.719593,-22.016443,-0.45223796,-39.51908,-169.34541,-52.282593,10.278669,-4.0760894,-38.444706,2.7054787,50.76512,-59.559883,-10.515635,-1.4860674,6.674516,2.4289076,6.040103,32.13712,-1.0264425,9.351218,-7.7357802,-8.490265,-2.9054258,1.7904456,30.21984,-10.305865,12.958395
125,0.0,0.0,0.0,2.7340353e-05,4.131606e-06,1.076958e-05,33.124855,-21.273972,-0.53575206,-39.64715,-167.48584,-48.203403,9.162437,-4.044154,-35.416977,2.836087,50.712833,-54.3517,-9.79489,5.786187,-5.9620867,0.22980365,4.8899775,31.987429,-1.0108997,9.518005,7.217264,-4.899655,-3.4092913,3.4562113,29.87213,-9.883843,12.481115
126,0.0,0.0,0.0,-5.9385457e-05,-1.0045056e-05,-6.0274715e-06,31.394379,-20.61147,-0.6246661,-39.46833,-161.72153,-44.41644,8.193935,-4.1884503,-31.79495,3.0511518,47.672413,-49.6735,-8.502329,13.473643,-4.4074116,-1.6351709,8.172683,32.120476,-1.1013182,9.398081,4.2455425,2.0729878,-1.3003175,5.4660306,29.544313,-9.46471,12.175551
127,0.0,0.0,0.0,-3.6194575e-05,-4.1847984e-06,-7.0560105e-05,28.731207,-18.93319,-0.65034866,-37.363495,-155.02321,-47.145393,9.017033,-5.4704113,-29.991821,6.5690374,43.441444,-42.863293,-7.2045836,5.430487,-0.569701,-2.8644435,7.5459113,31.771727,-1.5534233,9.730367,0.7227366,-2.616639,-0.20007955,5.702431,29.220808,-9.4149475,12.068125
128,0.0,0.0,0.0,-2.7337822e-07,-1.2512795e-05,0.00015191051,28.2653,-17.487621,-0.49086678,-32.586704,-145.9849,-48.507618,6.590978,-6.7881646,-28.566927,15.850862,43.317276,-29.166836,-4.3999696,11.866538,-18.03052,-4.1997395,3.4804342,32.758514,-2.7931056,8.7557535,20.081003,17.772377,6.137262,10.127211,29.559189,-8.7706585,12.109114
129,0.0,0.0,0.0,-2.9074381e-05,-2.6364873e-05,2.066149e-05,25.756872,-19.92799,-1.2066814,-26.663933,-133.35477,-48.112007,6.3642,-7.078821,-27.6645,17.108746,49.115894,-16.031696,-0.800563,6.9400215,-16.170816,-7.960427,4.807982,33.376587,-2.8229668,9.284656,11.780694,24.116686,3.1381233,9.603462,29.667868,-8.888146,12.372566
130,0.0,0.0,0.0,-1.1818137e-06,-1.98186e-05,-6.021647e-05,22.9605,-21.712238,-1.9914788,-22.933601,-117.90377,-47.125107,7.419803,-7.370611,-26.332253,16.314606,47.544334,-14.587167,-0.85492504,2.9269073,-4.6825347,-3.298138,2.564215,32.108288,-2.3134356,9.516999,3.4732974,-5.3270493,-0.5957411,7.035329,29.200607,-9.992762,12.243379
131,0.0,0.0,0.0,5.712726e-06,-7.406391e-06,7.071811e-05,20.750114,-21.577774,-2.2507126,-19.715088,-106.17437,-45.286007,8.007668,-7.468138,-23.93428,15.7546,43.458385,-13.938156,-1.4997612,7.449033,-7.035071,-1.6299477,4.7169886,31.347315,-2.8175435,9.288146,1.7934073,-17.724909,-3.9398754,6.150616,29.082878,-9.660647,12.1138525
132,0.0,0.0,0.0,-5.488555e-06,2.3566643e-06,1.3931537e-05,19.62348,-20.546255,-2.1322007,-16.5713,-96.70918,-42.524918,6.092149,-7.3776755,-21.288778,15.944362,39.60583,-15.070249,-2.3273375,3.01162,-5.4544578,-2.6025813,7.6107473,31.345074,-2.9617064,9.111232,-3.07731,-14.223951,-2.3311045,2.5675862,29.972668,-9.03348,12.145115
133,0.0,0.0,0.0,-1.4421203e-05,6.7185274e-06,-1.8777338e-06,18.792454,-19.62476,-2.0186057,-13.346212,-88.29407,-38.95641,4.6795025,-6.9721193,-18.901735,15.729363,37.112217,-16.156996,-3.0966773,3.4051998,-7.1046925,-3.754072,4.9108186,31.261328,-2.9400349,9.486322,-1.6322198,-16.124435,-2.5418932,1.5718167,29.98388,-9.294556,12.284415
