{'Mean Episode Return': Array(26.408642, dtype=float32), 'Mean Episode Length': Array(56.6286, dtype=float32)} step=3379200
{'Mean Episode Return': Array(26.383747, dtype=float32), 'Mean Episode Length': Array(57.164997, dtype=float32)} step=3430400
{'Mean Episode Return': Array(26.587927, dtype=float32), 'Mean Episode Length': Array(56.69231, dtype=float32)} step=3481600
{'Mean Episode Return': Array(26.900747, dtype=float32), 'Mean Episode Length': Array(57.163334, dtype=float32)} step=3532800
{'Mean Episode Return': Array(27.240822, dtype=float32), 'Mean Episode Length': Array(58.832184, dtype=float32)} step=3584000
{'Mean Episode Return': Array(27.507645, dtype=float32), 'Mean Episode Length': Array(58.571262, dtype=float32)} step=3635200
{'Mean Episode Return': Array(28.06507, dtype=float32), 'Mean Episode Length': Array(59.6349, dtype=float32)} step=3686400
{'Mean Episode Return': Array(28.014147, dtype=float32), 'Mean Episode Length': Array(59.53588, dtype=float32)} step=3737600
{'Mean Episode Return': Array(28.318855, dtype=float32), 'Mean Episode Length': Array(60.474316, dtype=float32)} step=3788800
{'Mean Episode Return': Array(28.350191, dtype=float32), 'Mean Episode Length': Array(61.092308, dtype=float32)} step=3840000
{'Mean Episode Return': Array(28.645462, dtype=float32), 'Mean Episode Length': Array(60.88292, dtype=float32)} step=3891200
{'Mean Episode Return': Array(28.794333, dtype=float32), 'Mean Episode Length': Array(61.054546, dtype=float32)} step=3942400
{'Mean Episode Return': Array(29.040943, dtype=float32), 'Mean Episode Length': Array(61.49408, dtype=float32)} step=3993600
{'Mean Episode Return': Array(29.300783, dtype=float32), 'Mean Episode Length': Array(62.160248, dtype=float32)} step=4044800
{'Mean Episode Return': Array(29.927387, dtype=float32), 'Mean Episode Length': Array(63.104996, dtype=float32)} step=4096000
{'Mean Episode Return': Array(29.904009, dtype=float32), 'Mean Episode Length': Array(63.94678, dtype=float32)} step=4147200
{'Mean Episode Return': Array(30.229355, dtype=float32), 'Mean Episode Length': Array(64.30828, dtype=float32)} step=4198400
{'Mean Episode Return': Array(30.436634, dtype=float32), 'Mean Episode Length': Array(65.33679, dtype=float32)} step=4249600
{'Mean Episode Return': Array(30.950794, dtype=float32), 'Mean Episode Length': Array(66.164955, dtype=float32)} step=4300800
{'Mean Episode Return': Array(31.125021, dtype=float32), 'Mean Episode Length': Array(66.55527, dtype=float32)} step=4352000
{'Mean Episode Return': Array(31.094173, dtype=float32), 'Mean Episode Length': Array(66.51866, dtype=float32)} step=4403200
{'Mean Episode Return': Array(31.113392, dtype=float32), 'Mean Episode Length': Array(66.761406, dtype=float32)} step=4454400
{'Mean Episode Return': Array(31.230701, dtype=float32), 'Mean Episode Length': Array(67.96804, dtype=float32)} step=4505600
{'Mean Episode Return': Array(31.571018, dtype=float32), 'Mean Episode Length': Array(67.96703, dtype=float32)} step=4556800
{'Mean Episode Return': Array(32.8025, dtype=float32), 'Mean Episode Length': Array(68.830215, dtype=float32)} step=4608000
{'Mean Episode Return': Array(32.39259, dtype=float32), 'Mean Episode Length': Array(68.56879, dtype=float32)} step=4659200
{'Mean Episode Return': Array(33.010742, dtype=float32), 'Mean Episode Length': Array(69.28552, dtype=float32)} step=4710400
{'Mean Episode Return': Array(32.797104, dtype=float32), 'Mean Episode Length': Array(68.4359, dtype=float32)} step=4761600
{'Mean Episode Return': Array(33.304443, dtype=float32), 'Mean Episode Length': Array(69.00132, dtype=float32)} step=4812800
{'Mean Episode Return': Array(32.2115, dtype=float32), 'Mean Episode Length': Array(68.044, dtype=float32)} step=4864000
{'Mean Episode Return': Array(31.994823, dtype=float32), 'Mean Episode Length': Array(67.50731, dtype=float32)} step=4915200
{'Mean Episode Return': Array(32.279736, dtype=float32), 'Mean Episode Length': Array(68.44016, dtype=float32)} step=4966400
{'Mean Episode Return': Array(33.038513, dtype=float32), 'Mean Episode Length': Array(69.62031, dtype=float32)} step=5017600
